Variable,Description,Type,Value,Label,Pre-Transplant Variable vs Post-Transplant Outcome Variable,"Related to GVHD: Yes/No, Possible, Unknown","Rational for Yes, Possible, Unknown",Linked to Other Variables
,,,96,"N/A, data not collected",,,,
,,,99,Missing,,,,
mark_f3itdm,FLT3-ITD mutation,Categorical,0,Negative,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Positive,,,,
,,,2,Test not done,,,,
,,,96,"N/A, data not collected",,,,
,,,99,Missing,,,,
mark_idh1,IDH1 mutation,Categorical,0,Negative,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Positive,,,,
,,,2,Test not done,,,,
,,,96,"N/A, data not collected",,,,
,,,99,Missing,,,,
mark_idh2,IDH2 mutation,Categorical,0,Negative,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Positive,,,,
,,,2,Test not done,,,,
,,,96,"N/A, data not collected",,,,
,,,99,Missing,,,,
mark_kit,KIT mutation,Categorical,0,Negative,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Positive,,,,
